id,name,icon,desc,spine,origin
101,默认,touxiang_liminde,李敏德默认皮肤,npc/liminde,
10101,香雪,touxiang_liminde1,思念无处，化作漫天樱纷飞。绝等伙伴李敏德的皮肤。,npc/liminde_1,400
10102,履霜露,touxiang_liminde2,踏便霜露，终得见明月清朗。绝等伙伴李敏德的皮肤。,npc/liminde_2,22
10103,破齐阵,touxiang_liminde3,城头铁鼓声犹振，匣里金刀血未干。绝等伙伴李敏德的皮肤。,npc/liminde_3,400
102,默认,touxiang_tuobajun,拓跋浚默认皮肤,npc/tuobajun,
10201,三途踏血,touxiang_tuobajun1,三途之上，是血色的思念。绝等伙伴拓跋浚的皮肤。,npc/tuobajun_1,2026
10202,动紫皇,touxiang_tuobajun2,动若惊鸿蹁跹意，妙声高玄东紫皇。绝等伙伴拓跋浚的限定皮肤。,npc/tuobajun_2,400
10203,金缕歌,touxiang_tuobajun3,为君且奏金缕曲，踏歌舞剑肆逍遥。绝等伙伴拓跋浚的皮肤。,npc/tuobajun_3,400
103,默认,touxiang_tuobayu,拓跋余默认皮肤,npc/tuobayu,
10301,白残飞雪,touxiang_tuobayu1,皑如山上雪，皎若云间月。绝等伙伴拓跋余的皮肤。,npc/tuobayu_1,400
10302,幽篁,touxiang_tuobayu2,独坐空谷寂，对饮兰花香。绝等伙伴拓跋余的皮肤。,npc/tuobayu_2,16
10303,瑞龙吟,touxiang_tuobayu3,印剖黄金籀，待来共凭，齐云话旧。绝等伙伴拓跋余的皮肤。,npc/tuobayu_3,400
104,默认,touxiang_gaoyueli,高月离默认皮肤,npc/gaoyueli,
10401,湘君,touxiang_gaoyueli1,石濑兮浅浅，飞龙兮翩翩。绝等伙伴高月离的皮肤。,npc/gaoyueli_1,400
10402,红梅踏雪,touxiang_gaoyueli2,假借红梅三分色，消得冰霜一点寒。绝等伙伴高月离的皮肤。,npc/gaoyueli_2,23
10403,云鬓乱,touxiang_gaoyueli3,云烘月影游龙处，九天玄女下碧霄。绝等伙伴高月离的皮肤。,npc/gaoyueli_3,400
