id,content,answers.content,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.atmosphere,answers.content,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.atmosphere,answers.content,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.atmosphere
1,五岳之首泰山在中国哪个省？,山东,32,30,28,26,24,16,4,山东。,32,30,28,26,24,16,4,,,,,,,,
2,“东方明珠”在中国哪座城市？,上海,32,30,28,26,24,16,4,上海。,32,30,28,26,24,16,4,,,,,,,,
3,西湖在中国哪个城市？,杭州,32,30,28,26,24,16,4,杭州。,32,30,28,26,24,16,4,,,,,,,,
4,“五岳归来不看山，黄山归来不看岳”中的黄山在哪个省？,安徽,32,30,28,26,24,16,4,安徽。,32,30,28,26,24,16,4,,,,,,,,
5,有“春城”美誉的城市是哪座城市？,昆明,32,30,28,26,24,16,4,昆明。,32,30,28,26,24,16,4,,,,,,,,
6,鲸是世界上最大的鱼，对还是错？（请回答对或错）,错,32,30,28,26,24,16,4,错。,32,30,28,26,24,16,4,,,,,,,,
7,普洱茶原产地在哪个省？,云南,32,30,28,26,24,16,4,云南。,32,30,28,26,24,16,4,,,,,,,,
8,天府之国是哪里的美称？,四川,32,30,28,26,24,16,4,四川。,32,30,28,26,24,16,4,,,,,,,,
9,吸血鬼的传说起源于一种动物，它是什么动物？,蝙蝠,32,30,28,26,24,16,4,蝙蝠。,32,30,28,26,24,16,4,,,,,,,,
10,被广大百姓推崇为中国“国酒”的是什么酒？,茅台,32,30,28,26,24,16,4,茅台。,32,30,28,26,24,16,4,,,,,,,,
11,有“飞人”之称的NBA球星是姚明，对还是错？（请回答对或错）,错,32,30,28,26,24,16,4,错。,32,30,28,26,24,16,4,,,,,,,,
12,中国第一个获得诺贝尔奖的人是谁？,莫言,32,30,28,26,24,16,4,莫言。,32,30,28,26,24,16,4,,,,,,,,
13,“我是要成为海贼王的男人！”这句台词出自哪部动漫？,海贼王,32,30,28,26,24,16,4,海贼王。,32,30,28,26,24,16,4,,,,,,,,
14,网络热词“我想静静”中的“静静”是指一个人，对还是错？（请回答对或错）,错,32,30,28,26,24,16,4,错。,32,30,28,26,24,16,4,,,,,,,,
15,漩涡鸣人是哪部动漫的主角？,火影,32,30,28,26,24,16,4,火影。,32,30,28,26,24,16,4,,,,,,,,
16,中国最古老的城市是哪个城市？,西安,32,30,28,26,24,16,4,西安。,32,30,28,26,24,16,4,,,,,,,,
17,日本首都是哪里？,东京,32,30,28,26,24,16,4,东京。,32,30,28,26,24,16,4,,,,,,,,
18,艾菲尔铁塔是在哪个城市？,巴黎,32,30,28,26,24,16,4,巴黎。,32,30,28,26,24,16,4,,,,,,,,
19,赞比亚河位于哪个国家？,赞比亚,32,30,28,26,24,16,4,赞比亚。,32,30,28,26,24,16,4,,,,,,,,
20,安徒生出生于哪个国家？,丹麦,32,30,28,26,24,16,4,丹麦。,32,30,28,26,24,16,4,,,,,,,,
21,印度洋和北冰洋哪个面积更大？,印度洋,32,30,28,26,24,16,4,印度洋。,32,30,28,26,24,16,4,,,,,,,,
22,韩国美食中最有名的是什么？,泡菜,32,30,28,26,24,16,4,泡菜。,32,30,28,26,24,16,4,,,,,,,,
23,全职高手的主角叫什么？,叶修,32,30,28,26,24,16,4,叶修。,32,30,28,26,24,16,4,,,,,,,,
24,煎饼果子中的果子是什么？,油条,32,30,28,26,24,16,4,油条。,32,30,28,26,24,16,4,,,,,,,,
25,三十六计第一计是“借刀杀人”还是“瞒天过海”？,瞒天过海,32,30,28,26,24,16,4,瞒天过海。,32,30,28,26,24,16,4,,,,,,,,
26,三十六计最后一计是“暗渡陈仓”还是“走为上策”？,走为上策,32,30,28,26,24,16,4,走为上策。,32,30,28,26,24,16,4,,,,,,,,
27,《水浒传》中的“水泊梁山”在今天我国的哪个省？,山东,32,30,28,26,24,16,4,山东。,32,30,28,26,24,16,4,,,,,,,,
28,“只识弯弓射大雕”说的是哪位历史人物？,成吉思汗,32,30,28,26,24,16,4,成吉思汗。,32,30,28,26,24,16,4,,,,,,,,
29,《本草纲目》是何人所著？,李时珍,32,30,28,26,24,16,4,李时珍。,32,30,28,26,24,16,4,,,,,,,,
30,扁鹊提出诊断病人的四个步骤是什么？,望闻问切,32,30,28,26,24,16,4,望闻问切。,32,30,28,26,24,16,4,,,,,,,,
31,中国古代宫殿建筑普遍采用什么颜色？,红色,32,30,28,26,24,16,4,红色。,32,30,28,26,24,16,4,,,,,,,,
32,有一个成语，形容重新走上翻过车的老路，比喻不吸取失败的教训，重犯过去的错误。这个成语是？,重蹈覆辙,32,30,28,26,24,16,4,重蹈覆辙。,32,30,28,26,24,16,4,,,,,,,,
33,三国演义里“木牛流马”是谁制造的？,诸葛亮,32,30,28,26,24,16,4,诸葛亮。,32,30,28,26,24,16,4,,,,,,,,
34,清代曹雪芹所著的小说《红楼梦》最初时命名为？,石头记,32,30,28,26,24,16,4,石头记。,32,30,28,26,24,16,4,,,,,,,,
35,紫砂壶作为茶具和工艺品已有悠久历史，它的原产地是哪个城市？,宜兴,32,30,28,26,24,16,4,宜兴。,32,30,28,26,24,16,4,,,,,,,,
36,平遥古城素有“中国古建筑的荟萃和宝库”之称，它位于山东还是山西？,山西,32,30,28,26,24,16,4,山西。,32,30,28,26,24,16,4,,,,,,,,
37,象棋的棋盘中间有一条没有方格的地带，称为？,楚河汉界,32,30,28,26,24,16,4,楚河汉界。,32,30,28,26,24,16,4,,,,,,,,
38,“五台山”是中国佛教四大名山之一，它位于哪个省？,山西,32,30,28,26,24,16,4,山西。,32,30,28,26,24,16,4,,,,,,,,
39,“大弦嘈嘈如急雨，小弦切切如私语”描述的是哪种乐器？,琵琶,32,30,28,26,24,16,4,琵琶。,32,30,28,26,24,16,4,,,,,,,,
40,东汉时期的“黄巾起义”领导者是？,张角,32,30,28,26,24,16,4,张角。,32,30,28,26,24,16,4,,,,,,,,
41,古代流传的名曲“十面埋伏”主要由哪种乐器演奏？,琵琶,32,30,28,26,24,16,4,琵琶。,32,30,28,26,24,16,4,,,,,,,,
42,碧螺春是红茶还是绿茶？,绿茶,32,30,28,26,24,16,4,绿茶。,32,30,28,26,24,16,4,,,,,,,,
43,中国十大名茶之一的“龙井茶”原产地在哪个省？,浙江,32,30,28,26,24,16,4,浙江。,32,30,28,26,24,16,4,,,,,,,,
44,中国十大名茶之一的“碧螺春”原产地在哪个省？,江苏,32,30,28,26,24,16,4,江苏。,32,30,28,26,24,16,4,,,,,,,,
45,龙井茶属于红茶还是绿茶？,绿茶,32,30,28,26,24,16,4,绿茶。,32,30,28,26,24,16,4,,,,,,,,
46,喜好饮酒，自称“酒中仙”的著名诗人是？,李白,32,30,28,26,24,16,4,李白。,32,30,28,26,24,16,4,,,,,,,,
47,古代“重阳节”里有饮酒的习俗，所饮的酒是菊花酒还是梅子酒？,菊花酒,32,30,28,26,24,16,4,菊花酒。,32,30,28,26,24,16,4,,,,,,,,
48,中药里的“雄黄”属于矿产还是植物？,矿产,32,30,28,26,24,16,4,矿产。,32,30,28,26,24,16,4,,,,,,,,
49,“烙花”工艺是中国发间传统工艺，历史上烙花工艺最为有名的南阳在哪个省？,河南,32,30,28,26,24,16,4,河南。,32,30,28,26,24,16,4,,,,,,,,
50,著名的“赵州桥”位于哪个省份？,河北,32,30,28,26,24,16,4,河北。,32,30,28,26,24,16,4,,,,,,,,
51,被称为“文房四宝”的是？,笔墨纸砚,32,30,28,26,24,16,4,笔墨纸砚。,32,30,28,26,24,16,4,,,,,,,,
52,古代许多诗句中都有“折柳”二字，这是什么情况下的习俗？,送别,32,30,28,26,24,16,4,送别。,32,30,28,26,24,16,4,,,,,,,,
53,古代小说常用“沉鱼落雁，闭月羞花”形容女性之美，其中“沉鱼”是指谁？,西施,32,30,28,26,24,16,4,西施。,32,30,28,26,24,16,4,,,,,,,,
54,古代用“沉鱼落雁，闭月羞花”形容女性之美，其中“闭月”是指谁？,貂蝉,32,30,28,26,24,16,4,貂蝉。,32,30,28,26,24,16,4,,,,,,,,
55,中国神话传说中开天辟地的是？,盘古,32,30,28,26,24,16,4,盘古。,32,30,28,26,24,16,4,,,,,,,,
56,“峨眉山”是中国佛教四大名山之一，它位于哪个省？,四川,32,30,28,26,24,16,4,四川。,32,30,28,26,24,16,4,,,,,,,,
57,济公在哪座寺庙出家？,灵隐寺,32,30,28,26,24,16,4,灵隐寺。,32,30,28,26,24,16,4,,,,,,,,
58,皮影戏最早诞生在两千年前的西汉，发祥于中国哪个省？,陕西,32,30,28,26,24,16,4,陕西。,32,30,28,26,24,16,4,,,,,,,,
59,“红娘”是《西游记》还是《西厢记》中的人物？,西厢记,32,30,28,26,24,16,4,西厢记。,32,30,28,26,24,16,4,,,,,,,,
60,被称为“万园之园”，后被烧毁的建筑是？,圆明园,32,30,28,26,24,16,4,圆明园。,32,30,28,26,24,16,4,,,,,,,,
61,古代小说常用“沉鱼落雁，闭月羞花”形容女性之美，其中“落雁”是指谁？,王昭君,32,30,28,26,24,16,4,王昭君。,32,30,28,26,24,16,4,,,,,,,,
