type,name,desc,icon,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg,last_minutes,effect_type,slander.title,slander.desc,slander.system_chat,slander.title,slander.desc,slander.system_chat,slander.title,slander.desc,slander.system_chat,slander.title,slander.desc,slander.system_chat,slander.title,slander.desc,slander.system_chat,slander.title,slander.desc,slander.system_chat,deform.female_pools.spine.part,deform.female_pools.spine.pttid,deform.female_pools.spine.part,deform.female_pools.spine.pttid,deform.female_pools.spine.part,deform.female_pools.spine.pttid,deform.male_pools.spine.part,deform.male_pools.spine.pttid,deform.male_pools.spine.part,deform.male_pools.spine.pttid,deform.male_pools.spine.part,deform.male_pools.spine.pttid,sorcery.female_icon_pool,sorcery.female_icon_pool,sorcery.female_icon_pool,sorcery.female_icon_pool,sorcery.female_icon_pool,sorcery.female_icon_pool,sorcery.female_icon_pool,sorcery.male_icon_pool,sorcery.male_icon_pool,sorcery.male_icon_pool,sorcery.male_icon_pool,sorcery.male_icon_pool,sorcery.male_icon_pool,sorcery.male_icon_pool,gongdou_by_other_mail,buffs,target_events.events.type,target_events.events.arg,target_events.events.arg,target_conditions.conditions.type,target_conditions.conditions.arg,target_conditions.conditions.arg,target_conditions.conditions.type,target_conditions.conditions.arg,target_conditions.conditions.arg,target_limit.online,target_limit.friend_relation,target_limit.include_self,target_limit.gongdou_times,short_desc,spine,name_icon,bg,desc_icon,system_chat,odds.based,odds.changed,buff_name,buff_effect,gongdou_by_other_times,slander_fail_events.title,slander_fail_events.system_chat,slander_fail_events.events.events.type,slander_fail_events.events.events.arg,slander_fail_events.events.events.arg
GT_RESPECT,请安,向朝中的大人们请安，增加对方10魅力.只能对官品等于或高于自己的玩家使用。,icon/resource/dihui,GPIN_LIMIT,>=,1,COST_RESOURCE,GONGDOU_RESPECT,1,,,,ADD_RESOURCE,EXP,50,0,GET_HELPFUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,RECEIVE_GIFT,10,GPIN_LIMIT,>=,,,,,,,,1,向%{NAME}请安，对方向您传授了一些朝中的经验。,gongdou/gongdou_qingan,icon/gongdou/name_icon/qingan,icon/gongdou/bg/qingan,,36,10000,1000,,,10,,,,,
GT_SLAP,掌嘴,抬手就是一巴掌，打得你说话口齿不清，持续10分钟。,icon/resource/zhangzui,GPIN_LIMIT,>=,2,COST_RESOURCE,GONGDOU_SLAP,1,,,,ADD_RESOURCE,MEIMING,1000,10,GET_HARMFUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPIN_LIMIT,<=,,LEVEL_GE,20,,True,,,1,抬手就是一巴掌，打得%{NAME}说话口齿不清，持续10分钟。,gongdou/gongdou_zhangzui,icon/gongdou/name_icon/zhangzui,icon/gongdou/bg/zhangzui,icon/gongdou/desc_icon/zhangzui,35,10000,1000,嘴肿了,在聊天频道会口齿不清,10,,,,,
GT_SORCERY,威吓,想让对方的头像变得喜感吗，试试这个吧，改变目标头像，持续30分钟。,icon/resource/bianxinggu,GPIN_LIMIT,>=,3,COST_RESOURCE,GONGDOU_SORCERY,1,,,,ADD_RESOURCE,MEIMING,1000,30,GET_HARMFUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icon/zhujuetouxiang/dabikong_nv,icon/zhujuetouxiang/qigai_nv,icon/zhujuetouxiang/ruhua_nv,icon/zhujuetouxiang/wudalang_nan,icon/zhujuetouxiang/xiangchangzui_nv,icon/zhujuetouxiang/yaoyao_nv,icon/zhujuetouxiang/zhutou_nv,icon/zhujuetouxiang/dabikong_nan,icon/zhujuetouxiang/qigai_nan,icon/zhujuetouxiang/ruhua_nan,icon/zhujuetouxiang/wudalang_nv,icon/zhujuetouxiang/xiangchangzui_nan,icon/zhujuetouxiang/yaoyan_nan,icon/zhujuetouxiang/zhutou_nan,,,,,,,,,LEVEL_GE,20,,,,,1,威吓成功，%{NAME}的头像被改变了。,gongdou/gongdou_fufei,icon/gongdou/name_icon/weixia,icon/gongdou/bg/weixia,icon/gongdou/desc_icon/weihe,37,-500,2000,恐惧,头像被强制改变了,10,,,,,
GT_SLANDER,谣言,传出一条谣言供大家鉴别，10分钟后谣言会被确认真伪。一旦成功则改变目标的称号，并减少5000美名。谣言失败有概率受到反噬.,icon/resource/dihui,GPIN_LIMIT,>=,4,COST_RESOURCE,GONGDOU_SLANDER,1,,,,ADD_RESOURCE,MEIMING,1000,30,GET_HARMFUL,10001,%{NAME}今天站在街口，和每个路过的小姐姐都说了喜欢她一类的话。,80,10005,%{NAME}为了获取名望，每天都雇人来听自己讲学。,84,10006,近日大旱，朝中四处筹备赈灾的粮食，%{NAME}偷偷把粮食藏了起来。,85,10007,%{NAME}每天都蹲在皇宫门口，就等着被皇上看上一眼。,86,10009,%{NAME}经常去洗衣房偷宫女的衣服。,88,10010,%{NAME}表面上和朋友关系很好，背地里经常说些闲话,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC_RESOURCE,MEIMING,5000,,,,LEVEL_GE,20,,,,,1,朝中传出%{NAME}的流言蜚语，谣言会在接下来的10分钟慢慢发酵。,gongdou/gongdou_feiyu,icon/gongdou/name_icon/yaoyan,icon/gongdou/bg/yaoyan,icon/gongdou/desc_icon/yaoyan,,100,150,谣言,受到谣言影响，你的称号改变了,10,10000,79,DEC_RESOURCE,MEIMING,5000
GT_CURE,调理,朝中险恶，自己也得学学医术.减少任意一项负面效果60分钟.对自己使用效果减半。,icon/resource/dihui,GPIN_LIMIT,>=,5,COST_RESOURCE,GONGDOU_CURE,1,COST_ITEM,5000,1,ADD_RESOURCE,MEIMING,1000,0,GET_HELPFUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC_GONGDOU_EFFECT,3600,,,,,,,,,,True,,经过一番调理看，%{NAME}的身体感觉好多了。,gongdou/gongdou_weiyao,icon/gongdou/name_icon/tiaoli,icon/gongdou/bg/tiaoli,,,10000,1000,,,10,,,,,
GT_DEFORM,诅咒,把你变成丑八怪，看你怎么出去勾搭别人，改变目标的人物形象，持续30分钟。,icon/resource/caoren,GPIN_LIMIT,>=,7,COST_RESOURCE,GONGDOU_DEFORM,1,,,,ADD_RESOURCE,MEIMING,1000,30,GET_HARMFUL,,,,,,,,,,,,,,,,,,,SP_DEFORM_FACE,300001,SP_DEFORM_FACE,300002,SP_DEFORM_FACE,308001,SP_DEFORM_FACE,400001,SP_DEFORM_FACE,403001,SP_DEFORM_FACE,407001,,,,,,,,,,,,,,,,,,,,,,,LEVEL_GE,20,,,,,1,诅咒成功，%{NAME}的形象被改变了。,gongdou/gongdou_zhaxiaoren,icon/gongdou/name_icon/caoren,icon/gongdou/bg/caoren,icon/gongdou/desc_icon/caoren,39,-500,2000,诅咒,受到了诅咒,10,,,,,
GT_POISON,下药,西域进贡的安神药，喝了以后就会昏昏欲睡，防御降低20%，持续20分钟。,icon/resource/dihui,GPIN_LIMIT,>=,8,COST_RESOURCE,GONGDOU_POISON,1,COST_ITEM,5001,1,ADD_RESOURCE,MEIMING,1000,20,GET_HARMFUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000002,,,,,,,LEVEL_GE,20,,,,,,%{NAME}喝下了安神药，现在昏昏欲睡，防御降低20%，持续20分钟。,gongdou/zhenjiu,icon/gongdou/name_icon/xiadu,icon/gongdou/bg/xiadu,icon/gongdou/desc_icon/xiadu,40,10000,1000,安神药,防御下降20%,10,,,,,
GT_LASH,责罚,哼，跟我斗，把你手夹疼看你怎么闹腾，攻击力降低20%，持续20分钟。,icon/resource/jiaxing,GPIN_LIMIT,>=,10,COST_RESOURCE,GONGDOU_LASH,1,COST_ITEM,5002,1,ADD_RESOURCE,MEIMING,1000,20,GET_HARMFUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000001,,,,,,,LEVEL_GE,20,,,,,,%{NAME}被处于了夹刑，攻击力降低20%，持续20分钟。,gongdou/gongdou_jiaxing,icon/gongdou/name_icon/jiaxing,icon/gongdou/bg/jiaxing,icon/gongdou/desc_icon/jiaxing,41,10000,1000,受伤,攻击下降20%,10,,,,,
GT_LETTER,抚琴,置琴曲几上，慵坐但含情.提升双方友好度100。,icon/resource/dihui,GPIN_LIMIT,>=,12,COST_RESOURCE,GONGDOU_LETTER,1,,,,ADD_RESOURCE,MEIMING,1000,0,GET_HELPFUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGE_INTIMACY,100,,,,,,,,,True,,,您和%{NAME}抚琴对谈，好感度增加了。,gongdou/gongdou_tanqin,icon/gongdou/name_icon/fuqing,icon/gongdou/bg/fuqing,,,10000,1000,,,,,,,,
GT_NURTURE,提携,官居上品，自然要提携后辈.让一个四品以下的好友提升一品。,icon/resource/dihui,GPIN_LIMIT,>=,13,COST_RESOURCE,GONGDOU_NURTURE,1,,,,ADD_RESOURCE,MEIMING,1000,0,GET_HELPFUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPIN_LIMIT,<=,10,GPIN_LIMIT,>=,1,,True,,,%{NAME}得到您的提携，官品提升了。,gongdou/gongdou_shengzhi,icon/gongdou/name_icon/tixie,icon/gongdou/bg/tixie,,42,10000,1000,,,,,,,,
